(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(4),1,您可使用下列哪種方式來防止因為射頻電流在有屏蔽的麥克風電纜線流通而產生的音頻失真?,(1) 帶通濾波器(Band-pass filter),(2) 低通濾波器(Low-pass filter),(3) 前置放大器(Preamplifier),(4) 鐵氧體扼流圈(Ferrite choke)
(2),2,"在行動電臺收發機收到的音頻中,伴隨著引擎速度變化產生的高亢嘶嘶聲的來源為何?",(1) 點火系統,(2) 交流發電機,(3) 電子的燃油泵,(4) 防鎖死煞車系統控制器
(1),3,行動電臺的收發機上的電源線的負迴路端應該接至何處?,(1) 接在電池或引擎之接地帶上,(2) 在天線的固定底座上,(3) 接在車輛上的任何金屬部分,(4) 接至收發機的支架上
(4),4,"如有其他電臺控制員說你的行動電臺的發射機的音頻有變動的高亢嘶嘶聲時,可能會是何種情況?",(1) 你的麥克風傳來窗外的噪音,(2) 你接收機的音量設定的太高,(3) 你務必去調整制躁(squelch)控制鈕,(4) 車輛電氣系統的噪音經由你的語音音頻一併發射出來
(2),5,"如果發射機的麥克風增益設定過高時,將會產生何事?",(1) 輸出功率也許過高,(2) 輸出信號可能失真,(3) 頻率可能變化不定,(4) SWR駐波比可能增高
(3),6,下列哪一項描述了一般所謂的”中繼偏移”?,(1) 中繼電臺的發射與接收天線之間的距離,(2) 中繼電臺定時器重置前的延滯時間,(3) 中繼電臺的發射與接收頻率間的差異,(4) 匹配天線阻抗與饋電電纜阻抗
(1),7,自動增益控制(AGC)之功能為何?,(1) 保持接收音頻相對比較的穩定,(2) 保護天線避免雷擊,(3) 消除電臺佈線的射頻,(4) 用於匹配天線的非對稱性的測角儀控制
(2),8,以下哪一項是使用屏蔽線的常見原因?,(1) 降低直流電源連接的電阻,(2) 增加導線的載流能力,(3) 防止不必要信號耦合到導線或從導線耦合,(4) 將導線連接到其他信號
(4),9,"如果您被告知您的FM手持式或行動收發機過度偏移,您可以做什麼?",(1) 對著麥克風大聲說話,(2) 讓收發機冷卻降溫,(3) 切換到高功率,(4) 遠離麥克風說話
(1),10,什麼會導致AM或FM無線電廣播無意中收到業餘無線電傳輸?,(1) 接收機無法阻擋AM或FM頻段以外的強信號,(2) 發射機的麥克風增益過高,(3) 發射機的音頻放大器過載,(4) 調頻發射機的偏差設置得太低
